respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.20246194258722036,0.39003926797447086
26708,0.05110099307976714,0.09381855216225947
26709,0.2657469534295585,0.6504435760404976
26710,0.45685949936349934,0.829252441780333
26711,0.2657132103891156,0.46363373511367106
26712,0.6953713397645371,0.9372730504214165
26713,0.23904600715755756,0.5026978791193164
26714,0.3115993444344574,0.468891566360397
26715,0.0280029006631193,0.22516007599522597
26716,0.3534352474284296,0.8891059342861781
26717,0.010329835240802688,0.2972004780105912
26718,0.3663577331305519,0.569915804220294
26719,0.14068554314603526,0.9174664186393328
26720,0.0436390395486357,0.14876713501571454
26721,0.31535372951519447,0.42213593656630183
26722,0.09257598957604665,0.11383752141739054
26723,0.79765962642822,0.8616046215866102
26724,0.02071967185183384,0.4109123470189534
26725,0.006279617099466314,0.043223842290553906
26726,0.02485515675452197,0.08445388955229545
26727,0.34397173705465467,0.7683389784256107
26728,0.44641487124676654,0.6902771629101895
26729,0.05362647485097432,0.3548569979988103
26730,0.03869285887616467,0.3017997496110488
26731,0.04776058823322417,0.3721464855535064
26732,0.26315393138373533,0.2041013974829679
26733,0.8909747303578494,0.9203151032338254
26734,0.8414545283235669,0.2367157210394617
26735,0.2244161521501919,0.6645831337353459
26736,0.1624723319525895,0.25515328770218415
26737,0.17051165877234933,0.26493893399979995
26738,0.6320108988208025,0.7772180551684336
26739,0.22382462944448525,0.3365996944475861
26740,0.2060528595768401,0.17872304139596482
26741,0.08194565149610648,0.8817445096919685
26742,0.2562004047412595,0.5984469310646637
26743,0.1732870641434887,0.693881910622521
26744,0.043789736810566283,0.6295818065721942
26745,0.045599884815380395,0.8826625150962115
26746,0.007006083701204587,0.07511900736281477
26747,0.061319167352922956,0.3480083295686143
26748,0.04373285778755381,0.05904950791406165
26749,0.11283730088068993,0.6881737127313474
26750,0.44809983282162563,0.8664640577741749
26751,0.5446479753252419,0.7732796082510095
26752,0.06777714466801564,0.06403143436453607
26753,0.4165840093854494,0.7347671911989755
26754,0.1642454713790197,0.5501557732901321
26755,0.21806225533163157,0.4530777685189376
26756,0.056503167979796036,0.08811628311080892
26757,0.231931118310228,0.394734880592531
26758,0.4171916392683081,0.8288710258693488
26759,0.01710341357999907,0.18885392482105504
26760,0.03163582304321512,0.14874371765360606
26761,0.193324779652855,0.5357012154734136
26762,0.2764050015840957,0.8365383383474946
26763,0.906737521702143,0.9707104183027268
26764,0.943873463836657,0.9529131429062229
26765,0.05185393880157324,0.8175460738831254
26766,0.24909721572342386,0.23452773770443153
26767,0.8191343543638725,0.7048442371526057
26768,0.00826134730869742,0.34175195898015015
26769,0.06696008862122009,0.12507860442288987
26770,0.046045057565060735,0.5585523725457952
26771,0.016156974138395036,0.13849654592311633
26772,0.1598047388753429,0.5110460869959942
26773,0.03323369572822181,0.5213820888171905
26774,0.030433958913128768,0.6218170997133503
26775,0.07278105086968213,0.5655254393421519
26776,0.2519535244900881,0.15880146966935277
26777,0.22714421762958398,0.9271657962103844
26778,0.10841315099960296,0.15646366665116
26779,0.17979032197220746,0.5224317015410235
26780,0.06366803952069279,0.9314226538896753
26781,0.0556809897833714,0.5547432904701315
26782,0.0982690341250757,0.44379952971871356
26783,0.03143885930378764,0.3417998028311985
26784,0.06745351406018303,0.7181487895939419
26785,0.01818883743694022,0.10565450965363513
26786,0.07521725024410644,0.35024607850775874
26787,0.09223908105332516,0.554220045328731
26788,0.03966132647531321,0.8647135564341824
26789,0.05482383615888927,0.4262690486203509
26790,0.030032314125896426,0.3173087547446515
26791,0.0568737669532633,0.13002656016090938
26792,0.13424634618950493,0.7574450614731021
26793,0.15064803261740853,0.8902166864160468
26794,0.525025388181595,0.7895584006691421
26795,0.13420133563699232,0.9627844372001628
26796,0.08957025294198288,0.11142958019259055
26797,0.19368881575997568,0.6866536557505157
26798,0.17515527530047012,0.13694404389726506
26799,0.2559802786128248,0.024979208294944703
26800,0.0815714078786711,0.9286423516230379
26801,0.23659288983240145,0.4133209104091552
26802,0.20683615961159144,0.3281141979414544
26803,0.05461893791715193,0.241406154557591
26804,0.04290996662648978,0.11449337532261106
26805,0.09260540464794151,0.33868035771310556
26806,0.03820610076525463,0.873054883857
26807,0.37473246884952305,0.8743207177585862
26808,0.06425667475336369,0.45742267687430155
26809,0.5070745788304841,0.0977900429374619
26810,0.050449245069430125,0.1642143533527782
26811,0.036118568991588544,0.07424871568176722
26812,0.20605351897671245,0.7161416441838452
26813,0.437591357329183,0.32246953724088745
26814,0.029141115737928224,0.5151885538805988
26815,0.028042460930868755,0.14468860569830083
26816,0.035396365035833516,0.22384104785097425
26817,0.02743405280178612,0.5128077668920306
26818,0.16566716107830948,0.35267729242769813
26819,0.1524719449905902,0.28273397234566955
26820,0.08057382878917244,0.3705976759814458
26821,0.0668513781568797,0.4593913121806455
26822,0.0738967109185041,0.5032747639223759
26823,0.4831863603544495,0.4964792443379403
26824,0.01869489084564976,0.6561355894219115
26825,0.4098464731129402,0.7306795788956204
26826,0.05663047292189852,0.708132462726827
26827,0.053534108288835675,0.16312669226273327
26828,0.0395126865274719,0.507142438998872
26829,0.7200951535284272,0.8908946431375764
26830,0.01189618548308273,0.4538022454199469
26831,0.13200106033601672,0.8045428887514607
26832,0.042870853703921255,0.7051137016629226
26833,0.024418758095755798,0.38281526382295866
26834,0.12455586147474887,0.563737223305261
26835,0.2067287255579188,0.8500174851786462
26836,0.2216515459116125,0.6070343435630788
26837,0.1702647225511785,0.0385168579000592
26838,0.18992110521741026,0.5223692953106012
26839,0.020924442286599176,0.26176799877684664
26840,0.13207616627749078,0.1334825358454653
26841,0.4039392095438044,0.8920795075116064
26842,0.2002663538667441,0.3557661142496245
26843,0.024717948995133868,0.023367624321704316
26844,0.023183191857171763,0.455952468818427
26845,0.01955307599512337,0.5438331348863521
26846,0.05680850994364838,0.7530638213681894
26847,0.4319550942016859,0.07734188517470005
26848,0.025959647107728908,0.6521581563420591
26849,0.4252467411875288,0.7254350800971259
26850,0.6108547151370387,0.6826695710853743
26851,0.09895661793105405,0.11237281217308441
26852,0.060364333362038544,0.12504918011429914
26853,0.4060611044970388,0.5910386712502421
26854,0.01141749671942729,0.07596988625024015
26855,0.5131987670339732,0.8817641402879686
26856,0.07252552827446646,0.049508414730245955
26857,0.5424269598869664,0.2298806956359041
26858,0.09699315383854445,0.5886941818688408
26859,0.037849000775861695,0.11977227197980407
26860,0.20730544972304937,0.18993646479409834
26861,0.03923364130952184,0.14433263192979562
26862,0.03799923440533824,0.19675274870484868
26863,0.1587629711313405,0.47213531026356176
26864,0.2616979787089149,0.3781464022441488
26865,0.05422332610231488,0.08957936577728394
26866,0.0930889269640736,0.538966438935746
26867,0.22853058095787745,0.2893296488747446
26868,0.7192735894962429,0.8354949247858992
26869,0.057039857247568555,0.4304328838578705
26870,0.5643532683504497,0.7753548574892103
26871,0.023571583948752257,0.03441972365655251
26872,0.03952131924712996,0.3270567345131523
26873,0.13828759100199875,0.8870118197259077
26874,0.07234655810044537,0.16896145882424404
26875,0.4702551602324539,0.9308438332927843
26876,0.09524785493124141,0.14078494432569524
26877,0.1288167269748316,0.14018428594068424
26878,0.16100799595245735,0.30202713050498414
26879,0.006572295818775199,0.03274947766431669
26880,0.13648646349034665,0.3074253141116491
26881,0.0200589865072918,0.16391219306615967
26882,0.0749271350536461,0.17090093894100344
26883,0.15331151341612997,0.36879213762373386
26884,0.0011113619995628608,0.018157486855144317
26885,0.2235114116693744,0.8418980029468098
26886,0.08252596099921604,0.7842710399054824
26887,0.7281558717345117,0.8736610254054804
26888,0.8996198821811394,0.9057841321714277
26889,0.009646724466797027,0.08508851702441851
26890,0.05100186353584431,0.3718952082427283
26891,0.37695771792352045,0.4954728829718978
26892,0.06159320056705622,0.7017695221179009
26893,0.11379734336570786,0.25784685568905386
26894,0.3287982569571307,0.4028360501008884
26895,0.06327989646315378,0.8480453000817476
26896,0.08131679262660807,0.1093167444699219
26897,0.11424555493271875,0.505994326759226
